id;parent_id;name;tag
5;0;Администрация;administration
12;748;Отдел мониторинга сети и управления инцидентами;NULL
13;24;Группа сетевых разработок;autotabel,dit,noqst
15;448;Отдел устранения аварий и модернизации сети;accident,tabel
18;0;Дирекция по развитию массового рынка;direction,function
23;472;Отдел по работе с управляющими компаниями;NULL
24;42;Отдел разработок;autotabel,dit,noqst
25;0;Дирекция по управлению персоналом и организационному развитию;direction,function,recruit
28;475;Департамент развития сети;infotech
30;448;Отдел технического контроля;NULL
31;472;Отдел управления запасами;NULL
32;476;!Отдел проектирования;setevik,hidden
41;608;Департамент обслуживания корпоративных клиентов;NULL
42;475;Департамент информационных технологий;autotabel,dit,infotech
43;28;Отдел телефонии;NULL
44;164;Отдел по работе с операторами связи;NULL
45;28;Отдел управления сетью;NULL
51;45;Группа магистральных сетей;NULL
53;0;ООО «АЛМА ГРУПП»;noqst,no_ad,nomsg,hidden,deleted
55;28;Отдел обслуживания УС и ЦОД;NULL
87;527;Отдел продаж 2;corprodazh,graph_b2b
88;0;Внешние агенты;agent,hidden
89;88;Связной;hidden
90;88;ИТ-САО;hidden
91;88;Страна на связи;hidden
92;88;БИНОМ;hidden
95;0;Архив;archive,hidden
97;88;2ip;hidden
106;88;КупиКупон;hidden
107;88;LovePlanet;hidden
111;476;!Отдел подключения юридических лиц;setevik,hidehire,hidden
112;0;Декретники;NULL
113;147;!Группа мониторинга и отчетности;zvonokstp,stp,hidehire,no_pozvonit,callTT_1, hidden
114;147;!Специалисты СТП;stp,hidehire,no_pozvonit,callTT_1,hidden
115;88;MyСonnect;hidden
116;449;Группа учета активного оборудования;NULL
117;88;ВилВит;hidden
119;88;Персона;hidden
127;88;ActionPay;hidden
128;614;Участок по подключениям и эксплуатации ЮЗАО;setevik,hidehire,tabel
134;88;Где лучше;hidden
135;88;2КОМ (сайт);hidden
136;88;Окта М;hidden
138;88;Твой Эксперт;hidden
139;88;99 Megabit;hidden
140;88;Руки из плеч;hidden
144;88;Инт-тв;hidden
145;88;УИЛЛСТРИМ;hidden
146;88;Руссервис(агент);hidden
147;748;Отдел технической поддержки В2С;stp,telephony,tel_stp,no_pozvonit,hidehire,callTT_1
148;88;Контакт Сервис;hidden
149;88;Агент-узел ЮЗАО2;hidden
150;475;Департамент эксплуатации;client_connect_and_exec,tt_safekeeping_confirm
154;614;Участок по подключениям и эксплуатации ВАО;hidehire,tabel
155;614;Участок по подключениям и эксплуатации ЗАО;hidehire,tabel
157;614;Участок по подключениям и эксплуатации ЮВАО;hidehire,tabel
158;614;Участок по подключениям и эксплуатации СЗАО;hidehire,tabel
159;88;Инфотелл;hidden
164;608;Департамент по работе с операторами связи;b2b,telephony,tel_b2b,b2x_dep
166;614;Участок по подключениям и эксплуатации СВАО;hidehire,tabel
167;88;Т-директ;hidden
170;441;!Дирекция по продажам услуг на сети ШПД;light,b2c_stat,sales_admin,b2c,telephony,tel_b2c
171;170;!Департамент телемаркетинга;hidden,light,motiv
173;88;Admitad;hidden
177;614;Участок по подключениям и эксплуатации ЮАО;hidehire,tabel
193;24;Группа веб-разработок;autotabel,dit,web,workweek,estimate,callTT_12
194;28;Отдел развития цифрового телевидения;autotabel
195;42;Отдел управления инфраструктурой;autotabel,ithelp,hidden
199;88;Дугиев Али;hidden
200;88;ИБМ;hidden
201;88;moyisp.ru;hidden
202;88;Комбелга;hidden
203;88;Arahov;hidden
206;88;Горбунов А.С.;hidden
207;88;Ситилинк;hidden
208;88; Левченко Д.Ю.;hidden
212;171;!Направление телемаркетинга 1;hidden,hidehire
216;171;!Направление телемаркетинга 2;hidden,hidehire
254;25;Учебный центр;trainer,telephony,tel_b2c
255;88;Softwizard;hidden
258;88;Бурцев;hidden
264;88;Все включено акция;hidden
265;88;RTM;hidden
272;88;ODSA;hidden
273;88;ИП Кривошеев;hidden
288;88;ОРЛИС;hidden
293;607;Служба аналитики;NULL
297;88;Перформанс Контакт;hidden
307;88;«ИНФОТЕЛЛ»;hidden
313;88;КИВИ;hidden
314;88;ИП Скрипов А.А.;hidden
349;88;НРР;hidden
357;88;ИП БАРГАНОВ А.А.;hidden
358;88;ИП БАХТИАРОВА Е.П.;hidden
359;88;ООО РЕАЛ ПРОЕКТ ;hidden
360;88;ООО ТЕХНИКС ;hidden
361;748;Отдел технической поддержки В2В;NULL
362;88;B2B партнер;hidden
363;88;НАМИ;hidden
364;88;Эдисон;hidden
368;88;ИНТРО-линк;hidden
369;88;ИП Чернов В.М.;hidden
370;88;ИП Филатов А.М.;hidden
371;88;T-direct ;hidden
372;88;NewContact ;hidden
373;88;TeleFunk ;hidden
374;88;Гран  ;hidden
375;88;ИП Смолянов И.В.;hidden
376;88;Компьютерная ру;hidden
377;88;Compolife;hidden
378;88;Горсервис;hidden
379;88;NTS сервис;hidden
380;88;Докерс;hidden
381;88;ПЕРСОНАЛЬНЫЕ КОМПЬЮТЕРЫ И НОУТБУКИ;hidden
384;88;ЛАСТЕН Корп;hidden
385;88;КомпРемонтСервис;hidden
386;88;Бренд-Сервис Технология;hidden
387;88;Астра Пейдж;hidden
388;88;НАГ ;hidden
402;88;Смартер;hidden
404;88;justconnect;hidden
405;88;Lain4Life;hidden
427;88;ИП Кузьмичева Н. С. ;hidden
428;88;ГудЛайн;hidden
432;88;САРАФАН ФМ;hidden
437;53;Департамент безопасности;no_ad,hidden,deleted
440;88;ГорСвязьСервис;hidden
441;293;Группа телемаркетинга;NULL
445;472;Отдел снабжения;NULL
447;712;Группа разработок баз данных;dit,autotabel,estimate
448;475;Департамент обеспечения качества сети и учета ресурсов;
449;448;Отдел учета сетевых ресурсов;NULL
450;476;!Отдел лицензирования и разрешительной документации;hidden
458;0;ООО «Цифра Один»;noqst,no_ad,nomsg
464;31;Группа ремонта и подготовки оборудования;NULL
465;45;Группа телематических служб;NULL
466;0;ООО «Телеконика»;no_ad,noqst
467;0;ООО «ТДС+»;no_ad,light
469;476;!Отдел строительства;hidden
470;25;Отдел по подбору и адаптации персонала;hr,recruit_sub
471;112;Управление контроля качества;NULL
472;0;Административная дирекция;direction,function
