uid;parent_uid;title;catnum
deliverygraph_close_resources;md_deliverygraph;График доставки: закрытие ресурсов;1.148.2
deliverygraph_open_resources;md_deliverygraph;График доставки: открытие ресурсов;1.148.3
deliverygraph_query_intervals;md_deliverygraph;График доставки: настройки интервалов снятия очереди;1.148.4
md_addsales;NULL;Допродажи;1.165
md_admin;NULL;Admin;1.51
md_admin_client_alarm_notify;md_admin;Оповещения об инцидентах у ключевых клиентов;1.51.54
md_admin_phones;md_admin;Удаление телефонов;1.51.53
md_admin_tarifzones;md_admin;Редактирование тарифных зон;1.51.58
md_admin_troubleticket_bot;md_admin;Администрирование Telegram-бота TroubleTicket;1.51.52
md_admin_trouble_call_slots;md_admin;Заполнение интервалов звонков;1.51.57
md_admin_tt_adv;md_admin;Генерация ТТ на размещение рекламы;1.51.60
md_admin_wf_access;md_admin;Настройка доступов WF;1.51.55
md_agents;NULL;Агенты и партнёры;1.17
md_alarmer;NULL;Инциденты;1.5
md_anylegend;NULL;Графические отчеты: изменение легенды;1.90
md_autopayments;md_stats;Отчет по автоплатежам;1.128.50
md_b2x_analiz;md_b2x_orders;Финансовый анализ эффективности проектов;1.140.15
md_b2x_orders;NULL;AlmaProject;1.140
md_b2x_orders_docc;md_b2x_orders;AlmaProject. Контроль оригиналов документов (ООКК);1.140.1
md_b2x_orders_dtsp;md_b2x_orders;AlmaProject. Редактирование вариантов включения (ДТСП);1.140.5
md_b2x_tasks;md_b2x_orders;AlmaProject. Задачи;1.140.2
md_blank_order_form;NULL;Бланки заказа пропусков;1.151
md_bonus_presents;md_stats;Администрирование каталога подарков за бонусы;1.128.74
md_calendar;NULL;Календарь;1.2
md_call_center_zp;md_menu_pay;Расчет по операторам ДОК;1.28.3
md_celmark;NULL;Целевой маркетинг;1.124
md_celmarkadm;md_admin;Управление целевым маркетингом (новый);1.51.59
md_celmark_new;NULL;Целевой маркетинг new;1.167
md_checklist;NULL;Чеклист;1.145
md_cheque;NULL;Чеки;1.154
md_client_diag;NULL;Диагностика абонентов;1.159
md_contracts;NULL;Договоры;1.24
md_contracts_agre;md_contracts;Договора: присутствие в списке согласовывающих;1.24.3
md_contracts_aprv;md_contracts;Договора: присутствие в списке утверждающих;1.24.4
md_contracts_fullaccess;md_contracts;Договора: доступ ко всем договорам;1.24.1
md_contracts_sign;md_contracts;Договора: присутствие в списке подписывающих;1.24.2
md_controlflow;NULL;Alma Billing;1.139
md_couriers;NULL;Курьерская служба;1.47
md_customer_alert;md_stats;Оповещение клиентов;1.128.59
md_debug;md_admin;Отладчик;1.51.5
md_decrees;NULL;Приказы;1.99
md_deliverygraph;NULL;График доставки;1.148
md_deliverygraph_control;md_deliverygraph;График доставки: управление;1.148.1
md_dezjurstvo;NULL;График дежурств;1.42
md_dismiss;NULL;Заявки на увольнение;1.103
md_dismiss_all;md_dismiss;Увольнять всех;1.103.2
md_dismiss_list;md_dismiss;Заявки на увольнение: обходной лист;1.103.1
md_docsflow;NULL;Документооборот;1.153
md_docsflow_acc;md_docsflow;Документооборот. Права для бухгалтера;1.153.1
md_documents;NULL;Документы;1.41
md_documents_tech;md_documents;Доступ к технической документации;1.41.1
md_doc_admin;md_admin;Админ - Управление документами;1.51.6
md_doc_routing;NULL;Маршрутизация задач;1.138
md_doc_routing_admin;md_admin;Администрирование маршрутов;1.51.7
md_dolzn_rights;md_admin;Редактор должностей;1.51.8
md_doma;NULL;Наши дома;1.29
md_doma_active_uslugs;md_doma;Справочник активных услуг по домам;1.29.28
